Name,Colors,StartTimeStamp,EndTimeStamp,WeekDay,WeekByMonth,WeekByYear,TimeZone
sleep,0,2023-02-03 01:30:00,2023-02-03 08:30:00,4,1,5,America/Sao_Paulo
sleep,0,2023-02-04 00:30:00,2023-02-04 08:00:00,5,1,5,America/Sao_Paulo
sleep,0,2023-02-05 01:30:00,2023-02-05 08:30:00,6,1,5,America/Sao_Paulo
sleep,0,2023-02-06 02:45:00,2023-02-06 08:30:00,0,1,6,America/Sao_Paulo
sleep,0,2023-02-07 00:30:00,2023-02-07 09:00:00,1,1,6,America/Sao_Paulo
sleep,0,2023-02-08 01:30:00,2023-02-08 08:30:00,2,2,6,America/Sao_Paulo
sleep,0,2023-02-09 00:30:00,2023-02-09 08:00:00,3,2,6,America/Sao_Paulo
sleep,0,2023-02-10 01:30:00,2023-02-10 08:30:00,4,2,6,America/Sao_Paulo
sleep,0,2023-02-11 02:45:00,2023-02-11 08:30:00,5,2,6,America/Sao_Paulo
sleep,0,2023-02-12 00:30:00,2023-02-12 09:00:00,6,2,6,America/Sao_Paulo
sleep,0,2023-02-13 00:30:00,2023-02-13 07:30:00,0,2,7,America/Sao_Paulo
sleep,0,2023-02-14 01:00:00,2023-02-14 08:00:00,1,2,7,America/Sao_Paulo
reels,1,2023-02-10 00:30:00,2023-02-10 00:45:00,4,2,6,America/Sao_Paulo
star+,1,2023-02-10 18:45:00,2023-02-10 19:00:00,4,2,6,America/Sao_Paulo
disney+,1,2023-02-10 19:15:00,2023-02-10 19:30:00,4,2,6,America/Sao_Paulo
hbomax,1,2023-02-10 21:30:00,2023-02-10 21:45:00,4,2,6,America/Sao_Paulo
hbomax,1,2023-02-01 21:30:00,2023-02-01 21:45:00,2,1,5,America/Sao_Paulo
youtube,1,2023-02-10 23:00:00,2023-02-10 23:15:00,4,2,6,America/Sao_Paulo
reels,1,2023-02-11 14:00:00,2023-02-11 14:15:00,5,2,6,America/Sao_Paulo
netflix,1,2023-02-11 20:00:00,2023-02-11 20:15:00,5,2,6,America/Sao_Paulo
netflix,1,2023-02-12 15:30:00,2023-02-12 15:45:00,6,2,6,America/Sao_Paulo
